Africa ,Arab States ,Asia & Pacific ,CIS ,Europe ,The Americas 
14.682350052101162,26.014603336383985,344.5484205709106,27.268724428585553,278.5732647102013,318.02524473215783
19.45750965014223,32.53255020830785,395.41611304965465,34.97615049928283,300.57867506717133,347.75468187285435
24.266405684743685,46.39226804365702,505.1494907689916,46.85770703204007,340.57671406841206,387.10318496440345
30.261473804247206,54.626374575175895,616.3569767563731,54.55765568710096,367.7774284295,405.0800159293986
36.8803450054611,64.63402083149683,727.8124601982997,65.1701259268,387.56053440350007,427.69219171840007
53.619122363,83.563226292104,873.12072667008,94.11073286199999,409.9935093027,455.8968151177
67.85800055598823,93.15937701226635,988.7118036209934,111.05665717882674,419.08060853144286,482.98759552531095
85.26097537647571,106.30504559045391,1109.6696261186562,139.13467156027366,434.35154129884626,526.1154490592937
107.23646969691497,120.22449693307188,1239.0112421243953,153.4517015684534,446.8727336564061,540.5977514722679
131.82680644205706,135.36853761741904,1397.237544476373,162.95319370000635,461.30787123953075,566.78147730655
163.78835122783144,150.92458004919877,1552.2311703455853,173.65563053398984,472.2712023726387,612.2311253153146
190.10843227536267,162.0826777298883,1696.8797625884151,183.16095670913137,489.9362193327399,637.0539571347742
213.32802154615973,172.6892093564324,1813.0232487120384,190.61993924785986,501.0415790579223,661.8967821079642
